2025-09-13 15:33:22 | INFO | utils.logger:test_start:113 | 🚀 Test Started: test_submit_contact_form_success
2025-09-13 15:33:22 | INFO | utils.logger:info:62 | 启动 chrome 浏览器，headless模式: False
2025-09-13 15:33:22 | INFO | utils.logger:test_end:119 | ⏭️ Test Finished: test_submit_contact_form_success - COMPLETED (0.03s)
2025-09-13 15:33:25 | INFO | utils.logger:test_start:113 | 🚀 Test Started: test_submit_contact_form_success
2025-09-13 15:33:25 | INFO | utils.logger:info:62 | 启动 chrome 浏览器，headless模式: False
2025-09-13 15:33:25 | INFO | utils.logger:test_end:119 | ⏭️ Test Finished: test_submit_contact_form_success - COMPLETED (0.06s)
2025-09-13 15:33:28 | INFO | utils.logger:test_start:113 | 🚀 Test Started: test_submit_contact_form_success
2025-09-13 15:33:28 | INFO | utils.logger:info:62 | 启动 chrome 浏览器，headless模式: False
2025-09-13 15:33:28 | ERROR | utils.logger:error:74 | 浏览器设置失败: local variable 'os' referenced before assignment
2025-09-13 15:33:28 | INFO | utils.logger:test_end:119 | ⏭️ Test Finished: test_submit_contact_form_success - COMPLETED (0.06s)
